Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Cross-Chain Bridge: Visual Knowledge Card,https://veda.ng/images/glossary/cross-chain-bridge.svg,Web3 & Blockchain Guide,,"Cross-Chain Bridge explained clearly. A cross-chain bridge enables transferring tokens, data, or messages between separate blockchains that otherwise cannot directly communicate, creating interoperability across the fragmented multi-chain ecosystem. The fundamental mechanism for token transfers: lock native tokens on the source chain in a bridge contract, then mint equivalent 'wrapped' tokens on the destination chain. Returning requires burning the wrapped tokens and unlockin... Read more on the glossary.",https://veda.ng/glossary/cross-chain-bridge,,"cross-chain bridge, web3, web3, blockchain, crypto, glossary, definition, crosschain, bridge"
State Channel: Visual Knowledge Card,https://veda.ng/images/glossary/state-channel.svg,Web3 & Blockchain Guide,,"State Channel explained clearly. A state channel enables participants to exchange arbitrary state updates off-chain with blockchain-level security guarantees, only settling on-chain when the channel closes or disputes arise. The process begins with participants locking funds or state into an on-chain smart contract that defines the rules for valid state transitions. Participants then exchange cryptographically signed messages representing new states: game moves, balance chang... Read more on the glossary.",https://veda.ng/glossary/state-channel,,"state channel, web3, web3, blockchain, crypto, glossary, definition, state, channel"
Payment Channel: Visual Knowledge Card,https://veda.ng/images/glossary/payment-channel.svg,Web3 & Blockchain Guide,,Payment Channel explained clearly. A payment channel is a Layer 2 scaling technique that enables unlimited instant transactions between two parties by locking funds in an on-chain smart contract and exchanging signed off-chain messages that update the balance distribution without touching the blockchain until final settlement. The mechanics: Alice and Bob each deposit funds into a multi-signature contract controlling a shared balance. They exchange cryptographically signed me... Read more on the glossary.,https://veda.ng/glossary/payment-channel,,"payment channel, web3, web3, blockchain, crypto, glossary, definition, payment, channel"
Atomic Swap: Visual Knowledge Card,https://veda.ng/images/glossary/atomic-swap.svg,Web3 & Blockchain Guide,,"Atomic Swap explained clearly. An atomic swap is a trustless peer-to-peer exchange of cryptocurrencies across different blockchains using cryptographic hash locks and time locks, ensuring that either both parties receive their assets or neither does, no intermediary required. The mechanism uses Hash Time-Locked Contracts (HTLCs). Alice wants to trade Bitcoin for Bob's Litecoin. Alice generates a secret and creates its hash. She locks her Bitcoin in a contract that releases to... Read more on the glossary.",https://veda.ng/glossary/atomic-swap,,"atomic swap, web3, web3, blockchain, crypto, glossary, definition, atomic, swap"
Rug Pull: Visual Knowledge Card,https://veda.ng/images/glossary/rug-pull.svg,Web3 & Blockchain Guide,,"Rug Pull explained clearly. A rug pull is a cryptocurrency scam where project creators abandon a project after extracting investor funds, typically by removing liquidity from trading pools or exploiting smart contract backdoors, leaving token holders with worthless assets. The term derives from 'pulling the rug out' from under someone. The typical pattern: anonymous developers launch a token with compelling marketing, create social media hype, add initial liquidity to a DEX e... Read more on the glossary.",https://veda.ng/glossary/rug-pull,,"rug pull, web3, web3, blockchain, crypto, glossary, definition, pull"
Sybil Attack: Visual Knowledge Card,https://veda.ng/images/glossary/sybil-attack.svg,Web3 & Blockchain Guide,,"Sybil Attack explained clearly. A Sybil attack exploits systems that grant power or resources based on identity count by having a single adversary create thousands or millions of fake identities. Named after the famous case study of multiple personality disorder, Sybil attacks undermine any system where one-entity-one-vote or one-entity-one-share assumptions hold. In a DAO where each address gets one vote, an attacker can create unlimited addresses and dominate governance. In... Read more on the glossary.",https://veda.ng/glossary/sybil-attack,,"sybil attack, web3, web3, blockchain, crypto, glossary, definition, sybil, attack"
Double Spend: Visual Knowledge Card,https://veda.ng/images/glossary/double-spend.svg,Web3 & Blockchain Guide,,"Double Spend explained clearly. Double spending is the fundamental problem of digital currency: spending the same digital token twice before the system detects the duplication. Unlike physical cash, digital information can be copied infinitely. Before blockchain, the only solution was a trusted intermediary, a bank, PayPal, or payment processor, that maintained a central ledger tracking who owns what. This trusted party could prevent double-spends because they controlled the... Read more on the glossary.",https://veda.ng/glossary/double-spend,,"double spend, web3, web3, blockchain, crypto, glossary, definition, double, spend"
Dust Attack: Visual Knowledge Card,https://veda.ng/images/glossary/dust-attack.svg,Web3 & Blockchain Guide,,"Dust Attack explained clearly. A dust attack is a privacy-breaking technique where attackers send tiny amounts of cryptocurrency ('dust') to thousands of addresses, then monitor the blockchain to trace how these dust amounts are spent, potentially linking multiple wallets to the same owner. The attack exploits how wallet software handles small inputs. When a user spends funds, their wallet typically combines multiple inputs to construct the transaction. If the wallet combines... Read more on the glossary.",https://veda.ng/glossary/dust-attack,,"dust attack, web3, web3, blockchain, crypto, glossary, definition, dust, attack"
51% Attack: Visual Knowledge Card,https://veda.ng/images/glossary/51-percent-attack.svg,Web3 & Blockchain Guide,,"51% Attack explained clearly. A 51% attack occurs when a single entity gains majority control of a blockchain's consensus mechanism, over 50% of hash power in Proof of Work or over 50% of stake in Proof of Stake, enabling them to manipulate the blockchain's canonical history. With majority control, the attacker can build blocks faster than the honest network, eventually producing a longer chain that replaces the legitimate one. This enables double-spending: spend coins on the... Read more on the glossary.",https://veda.ng/glossary/51-percent-attack,,"51% attack, web3, web3, blockchain, crypto, glossary, definition, attack"
Liquidity Pool Volume: Visual Knowledge Card,https://veda.ng/images/glossary/liquidity-pool-volume.svg,Web3 & Blockchain Guide,,"Liquidity Pool Volume explained clearly. Liquidity pool volume measures the total dollar value of swaps executed through a pool over a given period, typically 24 hours, serving as the primary indicator of pool activity and the basis for fee revenue calculations. Volume matters because it directly determines liquidity provider earnings: a pool with $1 million TVL but $10 million daily volume generates far more fee income than a pool with $10 million TVL and $100,000 volume. Th... Read more on the glossary.",https://veda.ng/glossary/liquidity-pool-volume,,"liquidity pool volume, web3, web3, blockchain, crypto, glossary, definition, liquidity, pool, volume"
Slippage: Visual Knowledge Card,https://veda.ng/images/glossary/slippage.svg,Web3 & Blockchain Guide,,"Slippage explained clearly. Slippage is the difference between the expected price of a trade when you initiate it and the actual executed price, representing one of the primary costs of trading beyond explicit fees. Two types exist: price impact slippage occurs because your trade itself moves the market, on AMMs, larger trades move further along the bonding curve, receiving progressively worse prices for each additional unit. Market movement slippage occurs when prices change... Read more on the glossary.",https://veda.ng/glossary/slippage,,"slippage, web3, web3, blockchain, crypto, glossary, definition, slippage"
Value at Risk: Visual Knowledge Card,https://veda.ng/images/glossary/value-at-risk.svg,Web3 & Blockchain Guide,,"Value at Risk explained clearly. Value at Risk (VaR) quantifies the maximum expected loss on a portfolio over a specific time horizon at a given confidence level, providing a single number that captures downside risk. A portfolio with 1-day 95% VaR of $10,000 means there's a 95% probability of losing less than $10,000 in a single day, equivalently, a 5% probability of losing more. The metric originated in traditional finance risk management, where banks and funds use it to se... Read more on the glossary.",https://veda.ng/glossary/value-at-risk,,"value at risk, web3, web3, blockchain, crypto, glossary, definition, value, risk"
APY vs APR: Visual Knowledge Card,https://veda.ng/images/glossary/apy-vs-apr.svg,Web3 & Blockchain Guide,,"APY vs APR explained clearly. APR (Annual Percentage Rate) and APY (Annual Percentage Yield) both express yearly interest rates, but APR ignores compounding while APY includes it, making APY always equal to or higher than APR for the same underlying rate. With 12% APR compounded monthly, you earn 1% per month. After one year: (1.01)^12 = 1.1268, meaning 12.68% APY. The more frequent the compounding, the larger the gap: 12% APR compounded daily yields 12.75% APY. With continuo... Read more on the glossary.",https://veda.ng/glossary/apy-vs-apr,,"apy vs apr, web3, web3, blockchain, crypto, glossary, definition"
Time-Weighted Average Price: Visual Knowledge Card,https://veda.ng/images/glossary/twap.svg,Web3 & Blockchain Guide,,"Time-Weighted Average Price explained clearly. Time-Weighted Average Price (TWAP) calculates the average price of an asset over a specified time period, weighted by how long the asset spent at each price level rather than by trading volume. This makes TWAP resistant to spot price manipulation: an attacker who briefly pushes the price to an extreme level has minimal impact on TWAP because the manipulation duration is short relative to the averaging window. To significantly mov... Read more on the glossary.",https://veda.ng/glossary/twap,,"time-weighted average price, web3, web3, blockchain, crypto, glossary, definition, timeweighted, average, price"
Market Cap: Visual Knowledge Card,https://veda.ng/images/glossary/market-cap.svg,Web3 & Blockchain Guide,,"Market Cap explained clearly. Market capitalization represents the total value of a cryptocurrency, calculated by multiplying the current price by the circulating supply. This metric is a rough gauge of a project's size and relative importance in the crypto ecosystem. A token trading at $10 with 100 million tokens in circulation has a $1 billion market cap. Market cap creates natural tiers: Bitcoin and Ethereum dominate as mega-caps, while mid-caps, small-caps, and micro-caps... Read more on the glossary.",https://veda.ng/glossary/market-cap,,"market cap, web3, web3, blockchain, crypto, glossary, definition, market"
Circulating Supply: Visual Knowledge Card,https://veda.ng/images/glossary/circulating-supply.svg,Web3 & Blockchain Guide,,"Circulating Supply explained clearly. Circulating supply counts the number of tokens currently available for trading in the market, excluding locked allocations, unvested team tokens, foundation reserves, and tokens permanently removed through burns. This matters because only circulating tokens can actually be bought or sold, making it the relevant denominator for market cap calculations. Total supply includes all existing tokens regardless of restrictions; maximum supply cap... Read more on the glossary.",https://veda.ng/glossary/circulating-supply,,"circulating supply, web3, web3, blockchain, crypto, glossary, definition, circulating, supply"
Vesting Schedule: Visual Knowledge Card,https://veda.ng/images/glossary/vesting-schedule.svg,Web3 & Blockchain Guide,,"Vesting Schedule explained clearly. A vesting schedule releases tokens to recipients gradually over time rather than all at once, creating alignment between stakeholders and long-term project success. Founders, team members, investors, and advisors typically receive tokens with vesting conditions that prevent immediate selling. The standard structure includes a cliff period (often 6-12 months) during which no tokens vest, followed by linear or milestone-based distribution ove... Read more on the glossary.",https://veda.ng/glossary/vesting-schedule,,"vesting schedule, web3, web3, blockchain, crypto, glossary, definition, vesting, schedule"
Token Burn: Visual Knowledge Card,https://veda.ng/images/glossary/token-burn.svg,Web3 & Blockchain Guide,,"Token Burn explained clearly. Token burning permanently removes tokens from circulation by sending them to an inaccessible address with no private key (a 'burn address'), reducing total supply and creating deflationary pressure. Burns can be manual (protocol treasury burning tokens) or automatic (programmatic burns on each transaction). Ethereum implements burning through EIP-1559, where a portion of every transaction's base fee is burned rather than going to validators. Duri... Read more on the glossary.",https://veda.ng/glossary/token-burn,,"token burn, web3, web3, blockchain, crypto, glossary, definition, token, burn"
Emission Rate: Visual Knowledge Card,https://veda.ng/images/glossary/emission-rate.svg,Web3 & Blockchain Guide,,"Emission Rate explained clearly. Emission rate measures the speed at which new tokens enter circulation, typically expressed as annual inflation percentage or tokens per time period. Emissions serve critical functions: they fund network security by rewarding validators and miners, incentivize early adoption through liquidity mining, and bootstrap economic activity. Bitcoin's emission schedule is programmatic and predictable: block rewards halve every 210,000 blocks (roughly 4... Read more on the glossary.",https://veda.ng/glossary/emission-rate,,"emission rate, web3, web3, blockchain, crypto, glossary, definition, emission, rate"
Order Book: Visual Knowledge Card,https://veda.ng/images/glossary/order-book.svg,Web3 & Blockchain Guide,,"Order Book explained clearly. An order book is a real-time ledger of buy and sell orders for an asset on an exchange, displaying the quantities traders want to buy or sell at various price levels. Bids represent buy orders (what buyers will pay); asks represent sell orders (what sellers want). The spread, the gap between highest bid and lowest ask, indicates market efficiency and liquidity. Tight spreads mean competitive markets with many participants; wide spreads indicate t... Read more on the glossary.",https://veda.ng/glossary/order-book,,"order book, web3, web3, blockchain, crypto, glossary, definition, order, book"
Limit Order: Visual Knowledge Card,https://veda.ng/images/glossary/limit-order.svg,Web3 & Blockchain Guide,,"Limit Order explained clearly. A limit order specifies the exact price at which you're willing to trade, providing price certainty at the cost of execution uncertainty. A buy limit at $100 executes only if the price drops to $100 or below; a sell limit at $110 executes only if price rises to $110 or above. If the market never reaches your specified price, the order never fills, you maintain your position but miss potential opportunities. Limit orders are fundamental to order... Read more on the glossary.",https://veda.ng/glossary/limit-order,,"limit order, web3, web3, blockchain, crypto, glossary, definition, limit, order"
Market Order: Visual Knowledge Card,https://veda.ng/images/glossary/market-order.svg,Web3 & Blockchain Guide,,"Market Order explained clearly. A market order executes immediately at the best available price, prioritizing speed of execution over price certainty. You get the trade done now, accepting whatever the market offers. Market orders guarantee execution (assuming any liquidity exists) but provide no price guarantee, the actual execution price depends on current order book depth or AMM pricing. In liquid markets with tight spreads, market orders execute close to displayed prices.... Read more on the glossary.",https://veda.ng/glossary/market-order,,"market order, web3, web3, blockchain, crypto, glossary, definition, market, order"
Liquidity Provider: Visual Knowledge Card,https://veda.ng/images/glossary/liquidity-provider.svg,Web3 & Blockchain Guide,,"Liquidity Provider explained clearly. A liquidity provider (LP) deposits assets into trading pools or order books, enabling others to trade by providing the other side of transactions. LPs earn fees from trades executed against their liquidity, the compensation for providing capital that enables market function. In Automated Market Maker (AMM) pools, LPs deposit token pairs (e.g., ETH and USDC) and receive LP tokens representing their share of the pool. When traders swap, a p... Read more on the glossary.",https://veda.ng/glossary/liquidity-provider,,"liquidity provider, web3, web3, blockchain, crypto, glossary, definition, liquidity, provider"
Concentrated Liquidity: Visual Knowledge Card,https://veda.ng/images/glossary/concentrated-liquidity.svg,Web3 & Blockchain Guide,,"Concentrated Liquidity explained clearly. Concentrated liquidity allows liquidity providers to specify price ranges for their capital rather than spreading it across all possible prices, greatly improving capital efficiency but increasing complexity and risk. Traditional AMMs like Uniswap v2 distribute liquidity uniformly from zero to infinity, most of which sits unused since prices rarely move to extreme values. Concentrated liquidity, pioneered by Uniswap v3, lets LPs choos... Read more on the glossary.",https://veda.ng/glossary/concentrated-liquidity,,"concentrated liquidity, web3, web3, blockchain, crypto, glossary, definition, concentrated, liquidity"
Total Value Locked: Visual Knowledge Card,https://veda.ng/images/glossary/tvl.svg,Web3 & Blockchain Guide,,"Total Value Locked explained clearly. Total Value Locked (TVL) measures the aggregate dollar value of all assets deposited in a DeFi protocol, serving as a rough proxy for protocol adoption, trust, and liquidity depth. Higher TVL generally indicates more capital deployed, enabling larger trades with less slippage and more lending capacity. TVL became the primary metric for comparing DeFi protocols during the 2020-2021 growth era. However, TVL has significant limitations as an... Read more on the glossary.",https://veda.ng/glossary/tvl,,"total value locked, web3, web3, blockchain, crypto, glossary, definition, total, value, locked"
Protocol Revenue: Visual Knowledge Card,https://veda.ng/images/glossary/protocol-revenue.svg,Web3 & Blockchain Guide,,"Protocol Revenue explained clearly. Protocol revenue is the income a DeFi protocol generates from fees and services, representing actual economic value capture rather than just capital deployment. Different protocols monetize differently: Uniswap earns swap fees from trading volume; Lido takes a percentage of staking rewards; Aave captures the spread between borrow and supply rates; MakerDAO charges stability fees on DAI loans. Protocol revenue matters because it determines s... Read more on the glossary.",https://veda.ng/glossary/protocol-revenue,,"protocol revenue, web3, web3, blockchain, crypto, glossary, definition, protocol, revenue"
Collateralization Ratio: Visual Knowledge Card,https://veda.ng/images/glossary/collateralization-ratio.svg,Web3 & Blockchain Guide,,"Collateralization Ratio explained clearly. Collateralization ratio measures the value of deposited collateral relative to borrowed assets, expressed as a percentage that determines position safety in DeFi lending. Borrow $100 with $150 of collateral and your ratio is 150%. Lending protocols require minimum ratios, typically 110-200% depending on collateral volatility, to maintain solvency during price swings. If your ratio falls below the liquidation threshold due to collater... Read more on the glossary.",https://veda.ng/glossary/collateralization-ratio,,"collateralization ratio, web3, web3, blockchain, crypto, glossary, definition, collateralization, ratio"
Liquidation: Visual Knowledge Card,https://veda.ng/images/glossary/liquidation.svg,Web3 & Blockchain Guide,,"Liquidation explained clearly. Liquidation in DeFi is the forced closure of an undercollateralized position, protecting protocols from bad debt by selling collateral to repay outstanding loans. The mechanics: you deposit ETH worth $150, borrow $100 DAI. ETH price drops, your collateral value falls to $110 while your debt remains $100. Your collateralization ratio breaches the minimum threshold (often 110-150%). A liquidator, typically an automated bot monitoring on-chain posi... Read more on the glossary.",https://veda.ng/glossary/liquidation,,"liquidation, web3, web3, blockchain, crypto, glossary, definition, liquidation"
Borrow Rate: Visual Knowledge Card,https://veda.ng/images/glossary/borrow-rate.svg,Web3 & Blockchain Guide,,"Borrow Rate explained clearly. Borrow rate is the interest rate paid to borrow assets from a DeFi lending protocol, dynamically adjusting based on supply and demand within each lending pool. The mechanism: protocols use interest rate curves that increase rates as utilization rises. When 80% of deposited ETH is borrowed, the borrow rate might be 5% APY; at 95% utilization, it might spike to 50% APY. This dynamic pricing balances the market: high rates encourage borrowers to re... Read more on the glossary.",https://veda.ng/glossary/borrow-rate,,"borrow rate, web3, web3, blockchain, crypto, glossary, definition, borrow, rate"
Supply Rate: Visual Knowledge Card,https://veda.ng/images/glossary/supply-rate.svg,Web3 & Blockchain Guide,,"Supply Rate explained clearly. Supply rate is the interest rate earned by depositing assets into a DeFi lending protocol, representing the yield lenders receive for providing capital that borrowers can access. The supply rate derives from borrow rates: when borrowers pay interest, most flows to suppliers, with the protocol taking a small spread. The formula roughly: supply rate = borrow rate × utilization × (1 - protocol fee). If the borrow rate is 10%, utilization is 50%, an... Read more on the glossary.",https://veda.ng/glossary/supply-rate,,"supply rate, web3, web3, blockchain, crypto, glossary, definition, supply, rate"
Utilization Rate: Visual Knowledge Card,https://veda.ng/images/glossary/utilization-rate.svg,Web3 & Blockchain Guide,,"Utilization Rate explained clearly. Utilization rate measures the percentage of deposited assets currently borrowed in a lending protocol, serving as the key input for dynamic interest rate adjustments. If $80 million is borrowed from $100 million deposited, utilization is 80%. This metric balances competing needs: lenders want high utilization for better yields, but too-high utilization creates withdrawal risk where depositors can't access their funds because they're all len... Read more on the glossary.",https://veda.ng/glossary/utilization-rate,,"utilization rate, web3, web3, blockchain, crypto, glossary, definition, utilization, rate"
